Stock,PCR,TradeDate
ACC,0.421155,2019-10-10
ACC,0.461395,2019-10-11
ACC,0.479041,2019-10-14
ACC,0.577861,2019-10-15
ACC,0.450642,2019-10-16
ACC,0.568291,2019-10-17
ACC,0.635300,2019-10-18
ACC,0.561878,2019-10-22
ACC,0.552859,2019-10-23
ACC,0.542073,2019-10-24
ACC,0.507004,2019-10-25
ACC,0.553822,2019-10-29
ACC,0.531561,2019-10-30
ACC,0.531874,2019-10-31
ACC,0.282334,2019-11-01
ACC,0.269230,2019-11-04
ACC,0.271986,2019-11-05
ACC,0.292420,2019-11-06
ACC,0.285551,2019-11-07
ACC,0.306864,2019-11-08
ACC,0.290095,2019-11-11
ACC,0.279384,2019-11-13
ACC,0.280925,2019-11-14
ACC,0.282269,2019-11-15
ACC,0.279529,2019-11-18
ACC,0.282973,2019-11-19
ACC,0.274261,2019-11-20
ACC,0.303173,2019-11-21
ACC,0.293863,2019-11-22
ACC,0.311007,2019-11-25
ACC,0.318352,2019-11-26
ACC,0.367486,2019-11-27
ACC,0.427364,2019-11-28
ACC,0.554502,2019-11-29
ACC,0.533541,2019-12-02
ACC,0.504563,2019-12-03
ACC,0.515901,2019-12-04
ACC,0.461773,2019-12-05
ACC,0.466730,2019-12-06
ADANIENT,0.580168,2019-10-10
ADANIENT,0.568825,2019-10-11
ADANIENT,0.580858,2019-10-14
ADANIENT,0.603425,2019-10-15
ADANIENT,0.610333,2019-10-16
ADANIENT,0.730337,2019-10-17
ADANIENT,0.806270,2019-10-18
ADANIENT,0.810924,2019-10-22
ADANIENT,0.963123,2019-10-23
ADANIENT,0.905154,2019-10-24
ADANIENT,0.858811,2019-10-25
ADANIENT,1.037453,2019-10-29
ADANIENT,1.131498,2019-10-30
ADANIENT,1.512962,2019-10-31
ADANIENT,0.799270,2019-11-01
ADANIENT,0.927868,2019-11-04
ADANIENT,1.042042,2019-11-05
ADANIENT,1.002183,2019-11-06
ADANIENT,1.059602,2019-11-07
ADANIENT,1.076446,2019-11-08
ADANIENT,1.024561,2019-11-11
ADANIENT,0.813537,2019-11-13
ADANIENT,1.030555,2019-11-14
ADANIENT,1.051355,2019-11-15
ADANIENT,1.074820,2019-11-18
ADANIENT,0.981612,2019-11-19
ADANIENT,1.040055,2019-11-20
ADANIENT,0.980026,2019-11-21
ADANIENT,0.949728,2019-11-22
ADANIENT,0.806411,2019-11-25
ADANIENT,0.786171,2019-11-26
ADANIENT,0.821052,2019-11-27
ADANIENT,0.777166,2019-11-28
ADANIENT,0.419354,2019-11-29
ADANIENT,0.469255,2019-12-02
ADANIENT,0.476993,2019-12-03
ADANIENT,0.480061,2019-12-04
ADANIENT,0.500740,2019-12-05
ADANIENT,0.483013,2019-12-06
ADANIPORTS,0.644245,2019-10-10
ADANIPORTS,0.654978,2019-10-11
ADANIPORTS,0.647773,2019-10-14
ADANIPORTS,0.667105,2019-10-15
ADANIPORTS,0.702739,2019-10-16
ADANIPORTS,0.718538,2019-10-17
ADANIPORTS,0.800791,2019-10-18
ADANIPORTS,0.699633,2019-10-22
ADANIPORTS,0.418586,2019-10-23
ADANIPORTS,0.453957,2019-10-24
ADANIPORTS,0.488434,2019-10-25
ADANIPORTS,0.490282,2019-10-29
